,ds,yhat,yhat_lower,yhat_upper
43,2015-10-29,22.79263719493229,22.267846001613087,23.359365914131068
44,2015-11-05,22.775867029670795,22.227768738903386,23.37334346598395
45,2015-11-12,22.775770272177407,22.21542422903706,23.358294472185165
46,2015-11-19,22.807327272578036,22.276443281134515,23.31185307595789
47,2015-11-26,22.851603562414507,22.31871703898813,23.35869147077567
48,2015-12-03,22.88806339438391,22.382584298437315,23.447265568112318
49,2015-12-10,22.90530862082038,22.375345410890368,23.462427011695908
50,2015-12-17,22.89520539918941,22.331633747344558,23.41121041977496
51,2015-12-24,22.86044801033455,22.32747144363911,23.385484450854495
52,2016-01-01,22.829036453452353,22.253883530379,23.32612419228464
53,2016-01-08,22.853699262200376,22.300425304886858,23.414155854403838
54,2016-01-15,22.92438205636095,22.401180322952623,23.43726044789259
55,2016-01-22,22.973454587052455,22.4367384930148,23.520325430149505
56,2016-01-29,22.927756630609327,22.415075017485712,23.46398452755568
57,2016-02-05,22.795759339862595,22.199075515879137,23.34397221479638
58,2016-02-12,22.682259464875102,22.167256150892396,23.193148371639317
59,2016-02-19,22.69546623073318,22.177077105521086,23.24059868486024
60,2016-02-26,22.835979402514994,22.306028203519027,23.330931214259543
61,2016-03-04,22.990442261314737,22.446664442100243,23.509238998309144
62,2016-03-11,23.042938739434106,22.53040928045111,23.596787990525133
63,2016-03-18,22.985176904731016,22.41804210011643,23.52506428005029
64,2016-03-25,22.907562565871082,22.346756318412098,23.436997919423582
65,2016-04-01,22.888876358763383,22.384369025032264,23.425468648399452
66,2016-04-08,22.9139676818278,22.378470075118507,23.492348579799973
67,2016-04-15,22.907603917632656,22.328384977350712,23.462922166535748
68,2016-04-22,22.833041272186968,22.32284265239017,23.37736880434642
69,2016-04-29,22.73466748645863,22.163388751546215,23.282013596482294
70,2016-05-06,22.68164783211127,22.14527271555681,23.24049492182413
71,2016-05-13,22.690439069299938,22.192649647580048,23.213646550262265
72,2016-05-20,22.719839429209323,22.213593678372057,23.25764353376733
73,2016-05-27,22.73311985126346,22.203494327210098,23.26424458810732
74,2016-06-03,22.740080897555465,22.21242983721035,23.25998330731279
75,2016-06-10,22.76842153104437,22.24046146233891,23.29591902664212
76,2016-06-17,22.812441772027586,22.28299790352115,23.369167735429063
77,2016-06-24,22.834676765056845,22.34219131431128,23.39670374602279
78,2016-07-01,22.818672383265994,22.248891499966067,23.333201437175475
79,2016-07-08,22.796335718199472,22.28921671318579,23.323585630050722
80,2016-07-15,22.80527384339592,22.272685915964473,23.39201192506313
81,2016-07-22,22.83019864691907,22.32108052833787,23.404478328571575
82,2016-07-29,22.81380104341862,22.29584110614702,23.341947078237045
83,2016-08-05,22.735586129487107,22.171412993918565,23.22930208125001
