,YY,WK,SALE_SUM_CNT,SALE_SUM_QTY,SALE_SUM_AMT,SALE_SUM_AVG,INCOME_CSI,CONSUME_CSI,P_CONSUME_CSI,CONSUME_INDEX,IT_EMP,FIN_EMP,HARDWARE_PRC,G_MOUSE,G_CPU,G_LABTOP,G_TABLET,N_MOUSE,N_CPU,N_LABTOP,N_TABLET,DT
62,2016,2,14223,85770,6500464912.00,75789.494135,100.793104,107.0,93.206896,101.64138,778.39655,801.0000000000001,137.2,25.16129032258064,19.483870967741943,47.451612903225794,11.838709677419358,7.280754285714286,2.16013,35.19207,4.228155714285714,2016-01-08
63,2016,3,13007,92260,7089726879.00,76845.077812,100.55172400000001,107.0,93.44827599999999,100.989656,778.975862,802.4,132.87999999999997,25.387096774193555,20.16129032258064,49.48387096774193,11.612903225806459,7.387175714285713,2.1955142857142858,35.75018857142857,4.4469771428571425,2016-01-15
64,2016,4,13112,101438,9723726409.00,95858.814339,100.310346,107.0,93.689656,100.33793,779.5551720000001,803.8,128.43,25.61290322580644,20.838709677419356,51.51612903225807,11.387096774193543,7.981459999999999,2.3157257142857146,37.05818571428572,4.398841428571429,2016-01-22
65,2016,5,12919,120186,11956582587.00,99483.988043,100.068966,107.0,93.931034,99.686206,780.134482,805.2,128.48399999999998,25.838709677419356,21.516129032258057,53.5483870967742,11.161290322580642,8.221357142857142,2.372185714285714,36.334584285714286,4.383491428571429,2016-01-29
66,2016,6,1505,32601,2204363406.00,67616.435262,99.67742,106.67742000000001,93.67742,99.129034,776.154838,802.77742,129.988,25.995391705069128,21.98617511520737,54.58906721754331,10.930716669315085,7.680414285714286,2.327435714285715,35.989307142857136,4.06111,2016-02-05
67,2016,6,12165,88924,7715348904.00,86763.403625,99.67742,106.67742000000001,93.67742,99.129034,776.154838,802.77742,129.988,25.995391705069128,21.98617511520737,54.58906721754331,10.930716669315085,7.680414285714286,2.327435714285715,35.989307142857136,4.06111,2016-02-05
68,2016,7,8282,42742,3631282842.00,84958.187309,99.22580599999999,106.22580599999999,93.22580599999999,98.609678,770.3516139999999,798.8258060000001,122.71000000000001,26.0,22.0,53.448275862068975,10.689655172413799,8.739925714285715,2.9334257142857143,44.99333428571428,4.676209999999999,2016-02-12
69,2016,8,15695,94342,8883100989.00,94158.497689,98.774194,105.774194,92.774194,98.090324,764.5483879999999,794.874194,127.54800000000003,26.0,22.0,52.241379310344826,10.448275862068972,9.486942857142855,2.8644757142857142,39.979910000000004,5.142478571428572,2016-02-19
70,2016,9,14340,194218,11576156492.00,59603.932138,98.322582,105.32258199999998,92.322582,97.57096800000001,758.7451619999999,790.922582,130.344,26.0,22.0,51.03448275862066,10.206896551724144,8.811478571428571,2.5855471428571426,38.42602857142857,4.872135714285714,2016-02-26
71,2016,10,4176,105824,7166586364.00,67721.748979,98.064516,105.0,92.064516,97.348386,754.5806460000001,787.738712,130.76,26.04608294930876,21.76958525345623,49.56697918321944,10.014778325123157,8.418324285714286,2.2647257142857145,37.42922142857143,4.5435099999999995,2016-03-04
72,2016,10,12161,68974,7522841474.00,109067.786035,98.064516,105.0,92.064516,97.348386,754.5806460000001,787.738712,130.76,26.04608294930876,21.76958525345623,49.56697918321944,10.014778325123157,8.418324285714286,2.2647257142857145,37.42922142857143,4.5435099999999995,2016-03-04
73,2016,11,14767,92815,8823193660.00,95062.152238,98.29032400000001,105.0,92.29032400000001,97.86774399999999,754.5129039999999,786.4741919999999,132.60999999999999,26.258064516129032,20.709677419354843,47.16129032258065,10.0,8.02361142857143,2.8194614285714286,33.17946571428572,4.75921,2016-03-11
74,2016,12,13771,86368,7062842488.00,81776.149592,98.51612999999999,105.0,92.51612999999999,98.38709600000001,754.445162,785.209678,133.834,26.483870967741947,19.58064516129033,44.67741935483872,10.0,8.067062857142856,3.0671657142857147,29.858084285714284,4.401444285714286,2016-03-18
75,2016,13,12573,82111,8025288964.00,97737.074983,98.741936,105.0,92.741936,98.90645400000001,754.37742,783.9451619999999,135.46,26.70967741935483,18.4516129032258,42.19354838709677,10.0,7.685358571428572,2.279297142857143,27.954764285714283,4.315318571428572,2016-03-25
76,2016,14,4796,22278,2053227919.00,92163.924903,98.96128999999999,105.00689600000001,92.95439400000001,99.42200199999999,754.312994,782.736776,135.54000000000002,26.91658986175116,17.35514592933947,39.76036866359448,9.99047619047619,6.954992857142857,1.998287142857143,25.00806142857143,4.117571428571428,2016-04-01
77,2016,14,11547,176754,16287693195.00,92148.936912,98.96128999999999,105.00689600000001,92.95439400000001,99.42200199999999,754.312994,782.736776,135.54000000000002,26.91658986175116,17.35514592933947,39.76036866359448,9.99047619047619,6.954992857142857,1.998287142857143,25.00806142857143,4.117571428571428,2016-04-01
78,2016,15,12983,71831,5715671401.00,79571.096058,99.0,105.206896,92.793104,99.831034,754.3413800000001,783.1,136.44400000000002,26.5,17.333333333333332,39.0,9.666666666666668,6.417431428571428,1.8744342857142857,24.679957142857145,3.6749814285714284,2016-04-08
79,2016,16,10542,57076,4971079134.00,87095.786915,99.0,105.44827599999999,92.55172400000001,100.217242,754.3896560000001,783.8000000000001,136.67499999999998,25.8,17.8,39.0,9.200000000000001,6.118988571428572,1.77244,23.545507142857144,3.596402857142858,2016-04-15
80,2016,17,11633,72002,8083177371.00,112263.233951,99.0,105.68965599999999,92.310346,100.603448,754.4379299999999,784.5,137.48999999999998,25.1,18.266666666666673,39.0,8.733333333333333,6.300602857142857,1.8890042857142857,23.65296857142857,3.952347142857143,2016-04-22
81,2016,18,12749,263367,19913132252.00,75609.822992,99.0,105.931034,92.068966,100.989656,754.486206,785.2,136.844,24.4,18.733333333333327,39.0,8.266666666666667,6.450734285714286,1.7084300000000001,21.570371428571427,3.5813128571428576,2016-04-29
82,2016,19,9922,41117,3250162683.00,79046.688304,98.84375,105.84375,91.84375,100.70937799999999,756.84375,786.8375,133.41333333333333,24.29032258064517,19.193548387096786,39.19354838709678,8.096774193548388,5.800511428571428,1.6881357142857145,21.826402857142853,3.242278571428572,2016-05-06
83,2016,20,12297,64006,5340611548.00,83439.233009,98.625,105.625,91.625,100.16250199999999,760.125,788.85,132.038,24.967741935483872,19.645161290322587,39.645161290322584,8.32258064516129,6.0698099999999995,1.913982857142857,21.575054285714284,3.270117142857143,2016-05-13
84,2016,21,10749,56527,5619256077.00,99408.354892,98.40625,105.40625,91.40625,99.61562799999999,763.40625,790.8625000000001,129.914,25.645161290322587,20.096774193548384,40.09677419354839,8.548387096774192,6.210315714285715,1.8039228571428574,20.823872857142856,3.2599714285714287,2016-05-20
85,2016,22,10065,112546,7991149905.00,71003.411094,98.1875,105.1875,91.1875,99.06875199999999,766.6875,792.875,131.368,26.322580645161285,20.548387096774185,40.548387096774185,8.774193548387098,6.30866857142857,1.9165871428571428,21.481905714285713,3.0551971428571427,2016-05-27
86,2016,23,8568,44845,3285732566.00,73268.649035,98.00625,105.00625,91.04624999999999,98.59962599999999,770.11425,794.7984999999999,132.32999999999998,26.91705069124423,20.91612903225806,41.087557603686626,8.972350230414746,5.967814285714286,2.156747142857143,21.44131571428571,2.9162542857142855,2016-06-03
87,2016,23,5377,82032,9967903364.00,121512.377657,98.00625,105.00625,91.04624999999999,98.59962599999999,770.11425,794.7984999999999,132.32999999999998,26.91705069124423,20.91612903225806,41.087557603686626,8.972350230414746,5.967814285714286,2.156747142857143,21.44131571428571,2.9162542857142855,2016-06-03
88,2016,24,9667,53570,4376058978.00,81688.612619,98.0,105.0,91.26666600000001,98.493334,774.22,796.3066660000001,132.3025,27.0,20.766666666666673,42.16666666666667,9.0,6.056018571428573,2.2805999999999997,22.809418571428573,3.2508642857142855,2016-06-10
89,2016,25,12651,69884,6125983856.00,87659.319100,98.0,105.0,91.49999999999999,98.4,778.35,797.8,129.962,27.0,20.533333333333328,43.33333333333333,9.0,6.6125757142857156,2.3758314285714284,22.146442857142855,3.5113185714285717,2016-06-17
90,2016,26,12355,133968,9404244901.00,70197.695725,98.0,105.0,91.733334,98.30666599999999,782.48,799.293334,128.098,27.0,20.299999999999994,44.5,9.0,6.494185714285714,2.2496357142857146,22.37047,3.387207142857143,2016-06-24
