"YY","WK","SALE_SUM_CNT","SALE_SUM_QTY","SALE_SUM_AMT","SALE_SUM_AVG","INCOME_CSI","CONSUME_CSI","P_CONSUME_CSI","CONSUME_INDEX","IT_EMP","FIN_EMP","HARDWARE_PRC","G_MOUSE","G_CPU","G_LABTOP","G_TABLET","REBT_AMT","DT"
"2017",19,12479,68512,6840291810.00,99840.784242,100.09091000000001,106.0,94.09091000000001,103.31818200000001,784.3636359999999,778.336364,142.6,27.419354838709673,19.58064516129033,43.58064516129033,8.709677419354838,679704226.25,2017-05-07 00:00:00
"2018",9,18228,147514,15647639393.00,106075.622605,103.042858,108.02142800000001,96.98,108.438714,801.787572,838.522428,164.30749999999998,37.18597761685319,26.009545753785382,66.00098749177091,11.958525345622116,617889137.63,2018-02-26 00:00:00
"2019",30,14459,178784,10652502164.00,59583.084414,96.212122,107.212122,92.424244,96.260608,860.654546,796.436364,155.87399999999997,34.70967741935484,24.032258064516128,65.70967741935485,10.741935483870973,1367002998.62,2019-07-23 00:00:00
"2020",17,20825,160923,12898897251.00,80155.709569,84.06666600000001,88.6,82.06666600000001,72.826666,850.3800000000001,779.8866659999999,156.272,47.0,33.300000000000004,90.19999999999997,14.2,1946686851.41,2020-04-22 00:00:00
"2020",23,19224,139270,14578607920.00,104678.738565,87.15625,91.3125,83.15625,78.25625,862.84375,779.9125,177.17000000000002,44.79493087557604,31.790322580645157,78.88940092165899,11.9331797235023,1953210336.21,2020-06-03 00:00:00
"2018",52,15106,144622,14850559629.00,102685.342679,98.67742,108.83870999999999,94.16129,96.70644999999999,877.9064500000001,831.4419359999999,136.5325,34.0,27.41935483870967,70.06451612903227,10.612903225806457,1359148655.20,2018-12-24 00:00:00
"2019",10,19751,157004,13774174999.00,87731.363525,98.0,109.206896,95.0,99.64138,872.162068,799.451724,149.876,33.677419354838705,26.6774193548387,69.2258064516129,11.0,1257384879.24,2019-03-05 00:00:00
"2020",37,21642,209582,14506114863.00,69214.507271,90.8,96.9,86.5,85.56000000000002,,,208.59800000000004,45.199999999999996,30.93333333333333,88.60000000000001,14.46666666666667,2353517939.99,2020-09-09 00:00:00
"2016",32,12409,81620,5721758196.00,70102.403773,100.0,106.0,93.15151600000002,100.636364,806.39394,814.1303,142.868,27.0,19.004608294930872,45.00460829493087,8.07373271889401,390784591.69,2016-08-05 00:00:00
"2016",18,12749,263367,19913132252.00,75609.822992,99.0,105.931034,92.068966,100.989656,754.486206,785.2,136.844,24.4,18.733333333333327,39.0,8.266666666666667,456766138.64,2016-04-29 00:00:00
"2017",45,15181,78362,8645908219.00,110332.919259,104.0,108.26666600000001,96.26666600000001,110.05333399999999,781.153334,805.5600000000001,159.952,33.633333333333326,25.76666666666667,51.4,10.533333333333328,603633651.39,2017-11-05 00:00:00
"2015",5,14411,276991,18566530993.00,67029.365549,100.93333399999999,106.93333399999999,93.866666,102.0,739.3133339999999,809.0733339999999,136.16400000000002,26.741935483870957,18.129032258064516,48.48387096774193,13.870967741935486,369697147.33,2015-01-29 00:00:00
"2015",11,15594,90524,6764934731.00,74730.841887,100.875,107.875,92.0,102.087502,757.55,792.6375019999999,146.434,25.6774193548387,20.6774193548387,45.77419354838709,12.0,911710078.30,2015-03-12 00:00:00
"2019",24,14185,120450,11826540646.00,98186.306733,97.0,108.57142800000001,94.0,97.771428,860.542858,794.571428,162.984,32.266666666666666,24.46666666666667,62.0,10.63333333333333,1298594580.99,2019-06-11 00:00:00
