,ds,yhat,yhat_lower,yhat_upper
49,2015-12-10,22.90948523617608,22.30215239729502,23.41797277034026
50,2015-12-17,22.903416842179972,22.38853379286988,23.43455328014444
51,2015-12-24,22.893904475946034,22.36977250732787,23.419028115642305
52,2016-01-01,22.905147291390755,22.352217414821357,23.4475051731706
53,2016-01-08,22.95628170211273,22.429212533846748,23.471320509548757
54,2016-01-15,23.029425309349858,22.505573562638226,23.543821292796586
55,2016-01-22,23.061622783048286,22.521513804724453,23.59980981300587
56,2016-01-29,22.994879945582642,22.45509948624418,23.510579302814634
57,2016-02-05,22.848410717893348,22.30920717690625,23.353017629445027
58,2016-02-12,22.72612728990923,22.16461635596682,23.263828794500252
59,2016-02-19,22.729450528104394,22.197346419660285,23.25846229981554
60,2016-02-26,22.85317649918018,22.338056817296724,23.355200470033378
61,2016-03-04,22.989481381286385,22.455614784640968,23.506055231065137
62,2016-03-11,23.025974963314024,22.461751150161064,23.569383621740112
63,2016-03-18,22.95417812178696,22.392456215550368,23.50442123112638
64,2016-03-25,22.862701754131326,22.3252931712977,23.449662518834423
65,2016-04-01,22.8314949238984,22.279557979581295,23.36054630727347
66,2016-04-08,22.849449552406483,22.309218483140935,23.3479815920171
67,2016-04-15,22.84319993402593,22.308075173375894,23.382214080485678
68,2016-04-22,22.77250364577218,22.245094658843314,23.268044259461277
69,2016-04-29,22.676108754634477,22.138821119513768,23.18970180607346
70,2016-05-06,22.621296048475095,22.10080944829403,23.134118539886302
71,2016-05-13,22.627648281265717,22.061073744197166,23.16029168672087
72,2016-05-20,22.657394650100716,22.1203113426499,23.16372927955139
73,2016-05-27,22.6730780847958,22.08517601297882,23.17099268969038
74,2016-06-03,22.680953244132525,22.163681020212668,23.24344401832124
75,2016-06-10,22.707327093959275,22.181715779833187,23.24299171108237
76,2016-06-17,22.749089405066506,22.22947885108288,23.26697761535082
77,2016-06-24,22.771669107293185,22.26914442773549,23.326074776322596
78,2016-07-01,22.757670688978934,22.236827475189777,23.283324345843518
79,2016-07-08,22.735249151699357,22.23627977613227,23.299588117277708
80,2016-07-15,22.74033726270662,22.207419577689922,23.261502715258878
81,2016-07-22,22.760372952152455,22.267090070941812,23.291151356174538
82,2016-07-29,22.741772082639876,22.209150677058254,23.243739091429987
83,2016-08-05,22.66413235404246,22.148892279541105,23.212280869180145
84,2016-08-12,22.58838401090745,22.09199274238661,23.13804533171614
85,2016-08-19,22.60370136713249,22.084887294414045,23.137982276648934
86,2016-08-26,22.720298823895124,22.191049605380172,23.260342196021497
87,2016-09-02,22.84285640629911,22.316254519585552,23.368903580478637
88,2016-09-09,22.83861927390643,22.323307319546696,23.40993368580964
89,2016-09-16,22.692705668602958,22.178456191192524,23.21005776381281
90,2016-09-23,22.525010281956867,21.938179712122636,23.030105694539746
91,2016-09-30,22.47890156856811,21.964968756308206,23.036119509491293
92,2016-10-07,22.589309174687763,22.0920796667334,23.116981084253148
93,2016-10-14,22.763913134753967,22.28183657802888,23.31692424499499
94,2016-10-21,22.884353063834453,22.353358603641084,23.41595880463972
95,2016-10-28,22.91183388913894,22.393068770819042,23.43547972290372
96,2016-11-04,22.895434318005574,22.35401728750563,23.418203226075267
97,2016-11-11,22.898754027786108,22.35963685719217,23.476873601403558
98,2016-11-18,22.93824789648169,22.36663004527069,23.45613203488664
99,2016-11-25,22.988508935509454,22.445232559120385,23.485284679262904
100,2016-12-02,23.020575999738714,22.52356167568388,23.579784590902303
101,2016-12-09,23.031981435323033,22.454986158573913,23.588301818022998
102,2016-12-16,23.028898633986127,22.51730758635987,23.551549138110396
103,2016-12-23,23.021851825648994,22.530649344336656,23.58030544258279
104,2017-01-01,23.039753040912988,22.47249559533902,23.540802421373996
105,2017-01-08,23.097625431994274,22.594110852474103,23.638316648993264
106,2017-01-15,23.172569563619668,22.628747331461717,23.669764183950242
107,2017-01-22,23.19873274143621,22.689842073461115,23.74332106662122
108,2017-01-29,23.123362659189393,22.582335562989496,23.638183351153806
109,2017-02-05,22.97620251170511,22.446716004467266,23.517123449381618
110,2017-02-12,22.866332848510414,22.3153148278807,23.427154898620223
111,2017-02-19,22.887948554864323,22.361066514875898,23.39425748231151
112,2017-02-26,23.024784498072762,22.461526948456186,23.55959827904812
113,2017-03-05,23.15985845832444,22.63908820787169,23.677035243978604
114,2017-03-12,23.18820094828999,22.64918105729091,23.708891400923235
115,2017-03-19,23.114473664088532,22.57251933422722,23.668263372864274
116,2017-03-26,23.032187613557543,22.48972085239095,23.546142024898675
117,2017-04-02,23.01384015408006,22.47123660680735,23.56222689724707
